EJ28_cells,IFNβ (pg/mL),EJ28 control vs EJ28Pi cells
Control cells,21.4,Mock
Control cells,197.5,wNDV only
Control cells,20.3,anti-IFNβ + wNDV
Control cells,22.4,Mock
Control cells,211.3,wNDV only
Control cells,20.9,anti-IFNβ + wNDV
Control cells,23.1,Mock
Control cells,201.1,wNDV only
Control cells,24.2,anti-IFNβ + wNDV
PI cells,56.6,Mock
PI cells,110.4,wNDV only
PI cells,10.74,anti-IFNβ + wNDV
PI cells,54.7,Mock
PI cells,115.9,wNDV only
PI cells,12.2,anti-IFNβ + wNDV
PI cells,58.1,Mock
PI cells,112.3,wNDV only
PI cells,9.8,anti-IFNβ + wNDV