Log2 EJ28Pi vs EJ28,Log2 TCCSUPPi vs TCCSUP
-2.409559572,-3.508618678
-4.623175862,-3.241714054
3.080863452,3.188679731
5.752572258,-1.725013809
-3.766087945,-4.618955534
4.38817226,1.000948932
4.566348076,0.976404536
-2.64192408,1.479097422
5.937070975,-7.560800028
-2.563370311,-2.789429688
8.947049497,-4.318873133
-2.801386209,-1.371852075
6.102280469,-0.760246742
-5.194424884,-7.539194082
-9.241026894,-3.656216842
8.758921335,-2.421888829
-2.119255136,-3.69557407
1.918795805,-2.4532224
-4.148649897,3.0460895
-5.308721275,-1.197335419
8.082188048,0.864985656
-7.933867998,2.047893701
7.873278194,-2.528513544
-7.74252782,1.810694323
4.729293079,-1.106635406
2.236268705,0.920006138
2.464799913,-0.682676283
-3.467101142,-0.710438005
-7.421728981,-2.736963211
-7.308453734,1.534107799
1.082845335,-0.671616501
-0.998502715,-0.684864562
1.774710581,-0.980169002
6.970620251,3.67857032
-6.891655339,-0.614698671
-4.936644964,-2.298857286
-6.87594134,-0.601628789
4.566471883,-0.813508665
4.522439428,1.697238661
-2.757920373,-1.393252491
-1.991297836,1.315248828
6.679867982,2.10556295
6.348998329,-0.578851954
-3.082887696,-0.586716897
-2.975995413,-3.905652903
-6.465874124,-0.727824568
-3.588620635,-0.874093842
4.482253598,1.082698753
-6.387830649,-2.207342345
-2.111464849,-0.567738299
-6.244837669,3.41784915
6.067672839,1.940613828
-5.946488018,-7.425193362
-3.275360478,1.773208004
-2.739359235,1.235755716
-2.338052776,1.014673554
-1.24796207,1.750962525
-6.027575295,-0.535379078
-6.016355345,-1.465037116
-5.96375997,-1.047141186
-6.003180073,-0.483961821
3.845167753,1.208796924
-3.535087913,-3.880077331
-0.524421362,-2.851215393
0.948846065,-1.134728017
5.619127713,1.79163013
-1.483324679,0.966735152
6.053561307,2.000261563
-4.047402977,4.944813919
-1.005169386,1.213802029
1.066144079,-1.254876706
-5.639901972,-0.698207564
5.812435122,1.185011311
-1.727049077,-2.579326819
-1.450413511,-1.914810661
0.990230979,-0.801450049
-2.543447987,-1.059511945
-5.499498591,
1.382813654,
-5.479926003,
4.064224934,
2.477419654,
-3.531964807,
-5.095296384,
-3.881858864,
0.879411188,
-5.043398626,
5.546702082,
-4.998376668,
-4.995428732,
-1.631306376,
5.146311691,
5.533543275,
3.110474747,
-4.906871661,
0.889844349,
-0.851766971,
-5.163272422,
-5.319448987,
-5.306890606,
3.84122601,
5.367744359,
-5.155898614,
-2.103985288,
1.168260047,
-4.983215656,
-4.965413012,
3.035800515,
-4.963949737,
4.769090158,
5.162480956,
1.52476008,
5.066734569,
0.809447426,
2.585270865,
4.996750405,
-0.587998568,
-1.964381787,
4.983081076,
0.502428582,
-2.757187675,
-4.697910145,
3.855320338,
-4.694490444,
-4.656917068,
-4.634623279,
-4.667347216,
-2.34696995,
3.336527258,
2.107098451,
-4.584679135,
-3.642345916,
1.987779376,
-4.709773349,
4.274179201,
1.640739164,
0.737400417,
-4.518422548,
-4.511120085,
-1.58901309,
-4.53153029,
4.649933402,
-1.515658457,
-3.409788463,
-2.701741056,
2.088054803,
4.113466942,